dataset,split_id,seed,method,test_acc,delta_vs_mlp,n_helped,n_hurt,correction_precision,frac_confident,frac_unreliable,frac_corrected,tau,rho,runtime_sec
pubmed,3,134000,BASELINE_SGC_V1,0.8828600405679513,0.011409736308316432,,,,,,0.18407707910750506,0.858053,,0.5568699040013598
pubmed,3,134000,V2_MULTIBRANCH,0.8818458417849898,0.010395537525354936,,,,0.815922920892495,0.018255578093306288,0.1658215010141988,0.858053,0.4,0.592922116004047
pubmed,3,134000,FINAL_V3,0.8828600405679513,0.011409736308316432,79,34,0.6991150442477876,0.7578600405679513,0.012170385395537525,0.22996957403651117,0.92877,0.3,0.5502490799990483
pubmed,4,134100,MLP_ONLY,0.8770283975659229,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
pubmed,4,134100,BASELINE_SGC_V1,0.888184584178499,0.011156186612576113,,,,,,0.19371196754563894,0.852576,,0.550905497992062
pubmed,4,134100,V2_MULTIBRANCH,0.888184584178499,0.011156186612576113,,,,0.8062880324543611,0.007860040567951318,0.18585192697768763,0.852576,0.3,0.6742334560112795
pubmed,4,134100,FINAL_V3,0.888184584178499,0.011156186612576113,78,34,0.6964285714285714,0.7609026369168357,0.008113590263691683,0.2309837728194726,0.9176,0.3,0.5476417329919059
chameleon,0,133700,MLP_ONLY,0.4407894736842105,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,0,133700,BASELINE_SGC_V1,0.4407894736842105,0.0,,,,,,0.09210526315789473,0.15,,0.30104194600426126
chameleon,0,133700,V2_MULTIBRANCH,0.4407894736842105,0.0,,,,0.9078947368421053,0.05482456140350877,0.03728070175438596,0.15,0.4,0.2952344290097244
chameleon,0,133700,FINAL_V3,0.4407894736842105,0.0,1,1,0.5,0.7850877192982456,0.0,0.2149122807017544,0.2,0.3,0.2860909349983558
chameleon,1,133800,MLP_ONLY,0.4649122807017544,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,1,133800,BASELINE_SGC_V1,0.4692982456140351,0.004385964912280715,,,,,,0.021929824561403508,0.05,,0.2751543939957628
chameleon,1,133800,V2_MULTIBRANCH,0.46710526315789475,0.0021929824561403577,,,,0.9451754385964912,0.039473684210526314,0.015350877192982455,0.1,0.4,0.29658726799243595
chameleon,1,133800,FINAL_V3,0.4649122807017544,0.0,0,0,1.0,0.9780701754385965,0.017543859649122806,0.0043859649122807015,0.05,0.5,0.2874506000080146
chameleon,2,133900,MLP_ONLY,0.45394736842105265,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,2,133900,BASELINE_SGC_V1,0.45394736842105265,0.0,,,,,,0.07017543859649122,0.1,,0.2899818059959216
chameleon,2,133900,V2_MULTIBRANCH,0.4517543859649123,-0.0021929824561403577,,,,0.9298245614035088,0.03508771929824561,0.03508771929824561,0.1,0.3,0.2926733539934503
chameleon,2,133900,FINAL_V3,0.45394736842105265,0.0,3,3,0.5,0.9298245614035088,0.006578947368421052,0.06359649122807018,0.1,0.3,0.2857133770012297
chameleon,3,134000,MLP_ONLY,0.5109649122807017,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,3,134000,BASELINE_SGC_V1,0.5131578947368421,0.002192982456140413,,,,,,0.021929824561403508,0.05,,0.2899259390105726
chameleon,3,134000,V2_MULTIBRANCH,0.5153508771929824,0.004385964912280715,,,,0.9539473684210527,0.02850877192982456,0.017543859649122806,0.1,0.4,0.29284529699361883
chameleon,3,134000,FINAL_V3,0.5153508771929824,0.004385964912280715,2,0,1.0,0.9780701754385965,0.0,0.021929824561403508,0.05,0.3,0.2860412459995132
chameleon,4,134100,MLP_ONLY,0.4868421052631579,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
chameleon,4,134100,BASELINE_SGC_V1,0.48903508771929827,0.0021929824561403577,,,,,,0.11403508771929824,0.2,,0.28734678898763377
chameleon,4,134100,V2_MULTIBRANCH,0.48903508771929827,0.0021929824561403577,,,,0.8859649122807017,0.043859649122807015,0.07017543859649122,0.2,0.3,0.29260862099181395
chameleon,4,134100,FINAL_V3,0.4824561403508772,-0.004385964912280715,0,2,0.0,0.8859649122807017,0.06578947368421052,0.04824561403508772,0.2,0.5,0.2869823799992446
texas,0,133700,MLP_ONLY,0.7567567567567568,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,0,133700,BASELINE_SGC_V1,0.7567567567567568,0.0,,,,,,0.05405405405405406,0.05,,0.0064859559934120625
