dataset,split_id,selected_tau,base_selected_rho,rho,delta_rho,test_acc,delta_vs_mlp,fraction_routed_to_correction
pubmed,6,0.93317,0.3,0.35,0.05,0.8841277890466531,0.014959432048681554,0.23960446247464504
pubmed,6,0.93317,0.3,0.4,0.1,0.8757606490872211,0.006592292089249496,0.19371196754563894
pubmed,7,0.92296,0.3,0.19999999999999998,-0.1,0.8864097363083164,0.01343813387423931,0.2484787018255578
pubmed,7,0.92296,0.3,0.25,-0.05,0.8864097363083164,0.01343813387423931,0.24746450304259635
pubmed,7,0.92296,0.3,0.3,0.0,0.8866632860040567,0.013691683569979629,0.23859026369168357
pubmed,7,0.92296,0.3,0.35,0.05,0.8866632860040567,0.013691683569979629,0.23351926977687626
pubmed,7,0.92296,0.3,0.4,0.1,0.8803245436105477,0.007352941176470562,0.1810344827586207
pubmed,8,0.91458,0.3,0.19999999999999998,-0.1,0.882606490872211,0.014705882352941235,0.24112576064908722
pubmed,8,0.91458,0.3,0.25,-0.05,0.882606490872211,0.014705882352941235,0.23935091277890466
pubmed,8,0.91458,0.3,0.3,0.0,0.882606490872211,0.014705882352941235,0.2317444219066937
pubmed,8,0.91458,0.3,0.35,0.05,0.8818458417849898,0.013945233265720058,0.22667342799188642
pubmed,8,0.91458,0.3,0.4,0.1,0.8752535496957403,0.007352941176470562,0.17925963488843813
pubmed,9,0.92738,0.3,0.19999999999999998,-0.1,0.8869168356997972,0.011409736308316432,0.2682555780933063
pubmed,9,0.92738,0.3,0.25,-0.05,0.8869168356997972,0.011409736308316432,0.2657200811359026
pubmed,9,0.92738,0.3,0.3,0.0,0.8869168356997972,0.011409736308316432,0.25481744421906694
pubmed,9,0.92738,0.3,0.35,0.05,0.8866632860040567,0.011156186612576002,0.2492393509127789
pubmed,9,0.92738,0.3,0.4,0.1,0.8790567951318459,0.003549695740365122,0.19320486815415822
chameleon,0,0.56885,0.3,0.19999999999999998,-0.1,0.45614035087719296,0.0,0.39473684210526316
chameleon,0,0.56885,0.3,0.25,-0.05,0.45614035087719296,0.0,0.39473684210526316
chameleon,0,0.56885,0.3,0.3,0.0,0.45614035087719296,0.0,0.3815789473684211
chameleon,0,0.56885,0.3,0.35,0.05,0.45614035087719296,0.0,0.34649122807017546
chameleon,0,0.56885,0.3,0.4,0.1,0.45394736842105265,-0.002192982456140302,0.28289473684210525
chameleon,1,0.05,0.6,0.5,-0.1,0.4649122807017544,-0.0021929824561403577,0.015350877192982455
chameleon,1,0.05,0.6,0.5499999999999999,-0.05,0.4649122807017544,-0.0021929824561403577,0.013157894736842105
chameleon,1,0.05,0.6,0.6,0.0,0.46710526315789475,0.0,0.010964912280701754
chameleon,1,0.05,0.6,0.65,0.05,0.46710526315789475,0.0,0.006578947368421052
chameleon,1,0.05,0.6,0.7,0.1,0.46710526315789475,0.0,0.006578947368421052
chameleon,2,0.1,0.4,0.30000000000000004,-0.1,0.4517543859649123,0.004385964912280715,0.05921052631578947
chameleon,2,0.1,0.4,0.35000000000000003,-0.05,0.4517543859649123,0.004385964912280715,0.05701754385964912
chameleon,2,0.1,0.4,0.4,0.0,0.4517543859649123,0.004385964912280715,0.04824561403508772
chameleon,2,0.1,0.4,0.45,0.05,0.44956140350877194,0.0021929824561403577,0.02631578947368421
chameleon,2,0.1,0.4,0.5,0.1,0.44956140350877194,0.0021929824561403577,0.017543859649122806
chameleon,3,0.05,0.6,0.5,-0.1,0.5131578947368421,0.0,0.006578947368421052
chameleon,3,0.05,0.6,0.5499999999999999,-0.05,0.5131578947368421,0.0,0.006578947368421052
chameleon,3,0.05,0.6,0.6,0.0,0.5131578947368421,0.0,0.006578947368421052
chameleon,3,0.05,0.6,0.65,0.05,0.5131578947368421,0.0,0.006578947368421052
chameleon,3,0.05,0.6,0.7,0.1,0.5131578947368421,0.0,0.0043859649122807015
chameleon,4,0.3,0.3,0.19999999999999998,-0.1,0.4934210526315789,0.0,0.15350877192982457
chameleon,4,0.3,0.3,0.25,-0.05,0.4934210526315789,0.0,0.15350877192982457
chameleon,4,0.3,0.3,0.3,0.0,0.4934210526315789,0.0,0.14692982456140352
chameleon,4,0.3,0.3,0.35,0.05,0.4934210526315789,0.0,0.1337719298245614
chameleon,4,0.3,0.3,0.4,0.1,0.4956140350877193,0.0021929824561403577,0.10526315789473684
chameleon,5,0.1,0.3,0.19999999999999998,-0.1,0.45394736842105265,0.006578947368421073,0.05921052631578947
chameleon,5,0.1,0.3,0.25,-0.05,0.45394736842105265,0.006578947368421073,0.05921052631578947
chameleon,5,0.1,0.3,0.3,0.0,0.45394736842105265,0.006578947368421073,0.05701754385964912
chameleon,5,0.1,0.3,0.35,0.05,0.45614035087719296,0.008771929824561375,0.05482456140350877
chameleon,5,0.1,0.3,0.4,0.1,0.4517543859649123,0.004385964912280715,0.046052631578947366
chameleon,6,0.05,0.3,0.19999999999999998,-0.1,0.47368421052631576,0.0,0.03508771929824561
chameleon,6,0.05,0.3,0.25,-0.05,0.47368421052631576,0.0,0.03508771929824561
chameleon,6,0.05,0.3,0.3,0.0,0.47368421052631576,0.0,0.02850877192982456
chameleon,6,0.05,0.3,0.35,0.05,0.47368421052631576,0.0,0.02412280701754386
