dataset,split_id,seed,homophily,num_nodes,avg_degree,num_classes,train_size,val_size,test_size,test_acc_mlp_base,method,test_acc,delta_over_mlp,test_acc_mlp,threshold,uncertain_frac,changed_frac,runtime_sec,percentile,reliability_threshold,frac_full_graph,frac_feat_only,mean_reliability
chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v2_percentile,0.4649122807017544,0.004385964912280715,0.4605263157894737,0.28429728746414185,0.13596491228070176,,0.6306151689999524,0.15,-1.0,0.13596491228070176,0.0,0.28437778994752344
chameleon,1,1338,0.2305,2277,27.58,5,1092,729,456,0.4605263157894737,sgc_v2_full,0.4605263157894737,0.0,0.4605263157894737,0.28429728746414185,0.13596491228070176,,0.6429829790000667,0.15,0.4,0.03728070175438596,0.09868421052631579,0.28437778994752344
texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,mlp_only,0.7297297297297297,0.0,,,,,,,,,,
texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v1,0.7297297297297297,0.0,0.7297297297297297,0.05,0.0,0.0,0.010831515000063519,,,,,
texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v2_reliability,0.7297297297297297,0.0,0.7297297297297297,0.15,0.05405405405405406,,0.023301568000078987,nan,0.3,0.02702702702702703,0.02702702702702703,0.28695095766734885
texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v2_percentile,0.7297297297297297,0.0,0.7297297297297297,0.2616460740566254,0.1891891891891892,,0.023532368000019233,0.1,-1.0,0.1891891891891892,0.0,0.28695095766734885
texas,0,1337,0.0871,183,3.14,5,87,59,37,0.7297297297297297,sgc_v2_full,0.7297297297297297,0.0,0.7297297297297297,0.2616460740566254,0.1891891891891892,,0.02683751899996878,0.1,0.3,0.05405405405405406,0.13513513513513514,0.28695095766734885
texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,mlp_only,0.8108108108108109,0.0,,,,,,,,,,
texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v1,0.8108108108108109,0.0,0.8108108108108109,0.05,0.02702702702702703,0.0,0.010754681999969762,,,,,
texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v2_reliability,0.8108108108108109,0.0,0.8108108108108109,0.05,0.02702702702702703,,0.023916354999983014,nan,0.3,0.02702702702702703,0.0,0.27892642570247395
texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v2_percentile,0.8108108108108109,0.0,0.8108108108108109,0.13499950468540192,0.08108108108108109,,0.02269348100003299,0.1,-1.0,0.08108108108108109,0.0,0.27892642570247395
texas,1,1338,0.0871,183,3.14,5,87,59,37,0.8108108108108109,sgc_v2_full,0.8378378378378378,0.027027027027026973,0.8108108108108109,0.13499950468540192,0.08108108108108109,,0.025156434999871635,0.1,0.6,0.0,0.08108108108108109,0.27892642570247395
