dataset,split_id,seed,method,mlp_acc,test_acc,delta,n_helped,n_hurt,precision,frac_corrected
pubmed,2,133900,SGC_V1,0.8742393509127789,0.8861561866125761,0.01191683569979718,,,,0.20436105476673427
pubmed,2,133900,V2_MULTI,0.8742393509127789,0.8859026369168357,0.01166328600405675,,,,0.186105476673428
pubmed,2,133900,FINAL_V3,0.8742393509127789,0.8864097363083164,0.012170385395537497,82,34,0.7068965517241379,0.24239350912778904
pubmed,3,134000,SGC_V1,0.8714503042596349,0.8828600405679513,0.011409736308316432,,,,0.18407707910750506
pubmed,3,134000,V2_MULTI,0.8714503042596349,0.8818458417849898,0.010395537525354936,,,,0.1658215010141988
pubmed,3,134000,FINAL_V3,0.8714503042596349,0.8828600405679513,0.011409736308316432,79,34,0.6991150442477876,0.22996957403651117
pubmed,4,134100,SGC_V1,0.8770283975659229,0.888184584178499,0.011156186612576113,,,,0.19371196754563894
pubmed,4,134100,V2_MULTI,0.8770283975659229,0.888184584178499,0.011156186612576113,,,,0.18585192697768763
pubmed,4,134100,FINAL_V3,0.8770283975659229,0.888184584178499,0.011156186612576113,78,34,0.6964285714285714,0.2309837728194726
pubmed,5,134200,SGC_V1,0.8734787018255578,0.8861561866125761,0.012677484787018356,,,,0.19751521298174443
pubmed,5,134200,V2_MULTI,0.8734787018255578,0.8861561866125761,0.012677484787018356,,,,0.19219066937119675
pubmed,5,134200,FINAL_V3,0.8734787018255578,0.8864097363083164,0.012931034482758674,91,40,0.6946564885496184,0.23301217038539554
pubmed,6,134300,SGC_V1,0.8638438133874239,0.880578093306288,0.016734279918864114,,,,0.19726166328600406
pubmed,6,134300,V2_MULTI,0.8638438133874239,0.8798174442190669,0.01597363083164305,,,,0.1873732251521298
pubmed,6,134300,FINAL_V3,0.8638438133874239,0.880578093306288,0.016734279918864114,92,26,0.7796610169491526,0.24974645030425963
pubmed,7,134400,SGC_V1,0.8722109533468559,0.8833671399594321,0.011156186612576113,,,,0.20233265720081137
pubmed,7,134400,V2_MULTI,0.8722109533468559,0.8838742393509128,0.011663286004056861,,,,0.1919371196754564
pubmed,7,134400,FINAL_V3,0.8722109533468559,0.8838742393509128,0.011663286004056861,77,31,0.7129629629629629,0.2421399594320487
pubmed,8,134500,SGC_V1,0.8727180527383367,0.8820993914807302,0.009381338742393552,,,,0.1904158215010142
pubmed,8,134500,V2_MULTI,0.8727180527383367,0.8823529411764706,0.00963488843813387,,,,0.1810344827586207
pubmed,8,134500,FINAL_V3,0.8727180527383367,0.8820993914807302,0.009381338742393552,71,34,0.6761904761904762,0.2355476673427992
pubmed,9,134600,SGC_V1,0.8732251521298174,0.8874239350912779,0.014198782961460488,,,,0.20360040567951318
pubmed,9,134600,V2_MULTI,0.8732251521298174,0.8876774847870182,0.014452332657200806,,,,0.19244421906693712
pubmed,9,134600,FINAL_V3,0.8732251521298174,0.8871703853955375,0.013945233265720058,89,34,0.7235772357723578,0.25050709939148075
chameleon,0,133700,SGC_V1,0.4407894736842105,0.4407894736842105,0.0,,,,0.09210526315789473
chameleon,0,133700,V2_MULTI,0.4407894736842105,0.4407894736842105,0.0,,,,0.03728070175438596
chameleon,0,133700,FINAL_V3,0.4407894736842105,0.4407894736842105,0.0,1,1,0.5,0.2149122807017544
chameleon,1,133800,SGC_V1,0.4649122807017544,0.4692982456140351,0.004385964912280715,,,,0.021929824561403508
chameleon,1,133800,V2_MULTI,0.4649122807017544,0.46710526315789475,0.0021929824561403577,,,,0.015350877192982455
chameleon,1,133800,FINAL_V3,0.4649122807017544,0.4649122807017544,0.0,0,0,1.0,0.0043859649122807015
chameleon,2,133900,SGC_V1,0.45394736842105265,0.45394736842105265,0.0,,,,0.07017543859649122
chameleon,2,133900,V2_MULTI,0.45394736842105265,0.4517543859649123,-0.0021929824561403577,,,,0.03508771929824561
chameleon,2,133900,FINAL_V3,0.45394736842105265,0.45394736842105265,0.0,3,3,0.5,0.06359649122807018
chameleon,3,134000,SGC_V1,0.5109649122807017,0.5131578947368421,0.002192982456140413,,,,0.021929824561403508
chameleon,3,134000,V2_MULTI,0.5109649122807017,0.5153508771929824,0.004385964912280715,,,,0.017543859649122806
chameleon,3,134000,FINAL_V3,0.5109649122807017,0.5153508771929824,0.004385964912280715,2,0,1.0,0.021929824561403508
chameleon,4,134100,SGC_V1,0.4868421052631579,0.48903508771929827,0.0021929824561403577,,,,0.11403508771929824
chameleon,4,134100,V2_MULTI,0.4868421052631579,0.48903508771929827,0.0021929824561403577,,,,0.07017543859649122
chameleon,4,134100,FINAL_V3,0.4868421052631579,0.4824561403508772,-0.004385964912280715,0,2,0.0,0.04824561403508772
chameleon,5,134200,SGC_V1,0.4649122807017544,0.4649122807017544,0.0,,,,0.05701754385964912
chameleon,5,134200,V2_MULTI,0.4649122807017544,0.46710526315789475,0.0021929824561403577,,,,0.03289473684210526
chameleon,5,134200,FINAL_V3,0.4649122807017544,0.4649122807017544,0.0,1,1,0.5,0.04824561403508772
chameleon,6,134300,SGC_V1,0.4473684210526316,0.4473684210526316,0.0,,,,0.06798245614035088
chameleon,6,134300,V2_MULTI,0.4473684210526316,0.4451754385964912,-0.0021929824561403577,,,,0.03728070175438596
chameleon,6,134300,FINAL_V3,0.4473684210526316,0.4473684210526316,0.0,1,1,0.5,0.05263157894736842
chameleon,7,134400,SGC_V1,0.44298245614035087,0.4451754385964912,0.0021929824561403577,,,,0.05701754385964912
chameleon,7,134400,V2_MULTI,0.44298245614035087,0.4473684210526316,0.004385964912280715,,,,0.03508771929824561
chameleon,7,134400,FINAL_V3,0.44298245614035087,0.4451754385964912,0.0021929824561403577,2,1,0.6666666666666666,0.03070175438596491
chameleon,8,134500,SGC_V1,0.4868421052631579,0.4868421052631579,0.0,,,,0.019736842105263157
chameleon,8,134500,V2_MULTI,0.4868421052631579,0.48464912280701755,-0.0021929824561403577,,,,0.010964912280701754
chameleon,8,134500,FINAL_V3,0.4868421052631579,0.4868421052631579,0.0,0,0,0.0,0.015350877192982455
chameleon,9,134600,SGC_V1,0.43201754385964913,0.43640350877192985,0.004385964912280715,,,,0.10964912280701754
chameleon,9,134600,V2_MULTI,0.43201754385964913,0.4342105263157895,0.0021929824561403577,,,,0.05921052631578947
chameleon,9,134600,FINAL_V3,0.43201754385964913,0.43201754385964913,0.0,0,0,0.0,0.08333333333333333
texas,0,133700,SGC_V1,0.7567567567567568,0.7567567567567568,0.0,,,,0.05405405405405406
texas,0,133700,V2_MULTI,0.7567567567567568,0.7567567567567568,0.0,,,,0.05405405405405406
texas,0,133700,FINAL_V3,0.7567567567567568,0.7567567567567568,0.0,0,0,0.0,0.05405405405405406
texas,1,133800,SGC_V1,0.9459459459459459,0.972972972972973,0.027027027027027084,,,,0.02702702702702703
texas,1,133800,V2_MULTI,0.9459459459459459,0.972972972972973,0.027027027027027084,,,,0.02702702702702703
texas,1,133800,FINAL_V3,0.9459459459459459,0.972972972972973,0.027027027027027084,1,0,1.0,0.02702702702702703
texas,2,133900,SGC_V1,0.8378378378378378,0.8378378378378378,0.0,,,,0.0
texas,2,133900,V2_MULTI,0.8378378378378378,0.8378378378378378,0.0,,,,0.0
texas,2,133900,FINAL_V3,0.8378378378378378,0.8378378378378378,0.0,0,0,1.0,0.0
texas,3,134000,SGC_V1,0.8108108108108109,0.8378378378378378,0.027027027027026973,,,,0.05405405405405406
texas,3,134000,V2_MULTI,0.8108108108108109,0.8378378378378378,0.027027027027026973,,,,0.05405405405405406
texas,3,134000,FINAL_V3,0.8108108108108109,0.8378378378378378,0.027027027027026973,1,0,1.0,0.05405405405405406
texas,4,134100,SGC_V1,0.7297297297297297,0.7027027027027027,-0.027027027027026973,,,,0.05405405405405406
texas,4,134100,V2_MULTI,0.7297297297297297,0.7297297297297297,0.0,,,,0.02702702702702703
texas,4,134100,FINAL_V3,0.7297297297297297,0.7297297297297297,0.0,0,0,0.0,0.02702702702702703
texas,5,134200,SGC_V1,0.7567567567567568,0.7297297297297297,-0.027027027027027084,,,,0.02702702702702703
texas,5,134200,V2_MULTI,0.7567567567567568,0.7297297297297297,-0.027027027027027084,,,,0.02702702702702703
texas,5,134200,FINAL_V3,0.7567567567567568,0.7297297297297297,-0.027027027027027084,0,1,0.0,0.02702702702702703
texas,6,134300,SGC_V1,0.8108108108108109,0.8108108108108109,0.0,,,,0.02702702702702703
texas,6,134300,V2_MULTI,0.8108108108108109,0.8108108108108109,0.0,,,,0.0
texas,6,134300,FINAL_V3,0.8108108108108109,0.8108108108108109,0.0,0,0,1.0,0.0
texas,7,134400,SGC_V1,0.7837837837837838,0.8108108108108109,0.027027027027027084,,,,0.02702702702702703
texas,7,134400,V2_MULTI,0.7837837837837838,0.7837837837837838,0.0,,,,0.0
texas,7,134400,FINAL_V3,0.7837837837837838,0.8108108108108109,0.027027027027027084,1,0,1.0,0.02702702702702703
texas,8,134500,SGC_V1,0.7297297297297297,0.7297297297297297,0.0,,,,0.0
texas,8,134500,V2_MULTI,0.7297297297297297,0.7297297297297297,0.0,,,,0.0
texas,8,134500,FINAL_V3,0.7297297297297297,0.7297297297297297,0.0,0,0,1.0,0.0
texas,9,134600,SGC_V1,0.8918918918918919,0.8648648648648649,-0.027027027027026973,,,,0.08108108108108109
texas,9,134600,V2_MULTI,0.8918918918918919,0.8918918918918919,0.0,,,,0.0
texas,9,134600,FINAL_V3,0.8918918918918919,0.8918918918918919,0.0,0,0,1.0,0.0
wisconsin,0,133700,SGC_V1,0.803921568627451,0.803921568627451,0.0,,,,0.0
wisconsin,0,133700,V2_MULTI,0.803921568627451,0.803921568627451,0.0,,,,0.0
wisconsin,0,133700,FINAL_V3,0.803921568627451,0.803921568627451,0.0,0,0,1.0,0.0
wisconsin,1,133800,SGC_V1,0.7843137254901961,0.7843137254901961,0.0,,,,0.0196078431372549
wisconsin,1,133800,V2_MULTI,0.7843137254901961,0.7843137254901961,0.0,,,,0.0196078431372549
wisconsin,1,133800,FINAL_V3,0.7843137254901961,0.7843137254901961,0.0,0,0,1.0,0.0196078431372549
wisconsin,2,133900,SGC_V1,0.803921568627451,0.803921568627451,0.0,,,,0.0392156862745098
wisconsin,2,133900,V2_MULTI,0.803921568627451,0.803921568627451,0.0,,,,0.0
wisconsin,2,133900,FINAL_V3,0.803921568627451,0.803921568627451,0.0,0,0,1.0,0.0
wisconsin,3,134000,SGC_V1,0.8823529411764706,0.8823529411764706,0.0,,,,0.0392156862745098
wisconsin,3,134000,V2_MULTI,0.8823529411764706,0.8823529411764706,0.0,,,,0.0196078431372549
wisconsin,3,134000,FINAL_V3,0.8823529411764706,0.8823529411764706,0.0,0,0,1.0,0.0196078431372549
wisconsin,4,134100,SGC_V1,0.8823529411764706,0.8823529411764706,0.0,,,,0.0196078431372549
wisconsin,4,134100,V2_MULTI,0.8823529411764706,0.8823529411764706,0.0,,,,0.0
wisconsin,4,134100,FINAL_V3,0.8823529411764706,0.8823529411764706,0.0,0,0,0.0,0.0196078431372549
wisconsin,5,134200,SGC_V1,0.8431372549019608,0.8431372549019608,0.0,,,,0.09803921568627451
wisconsin,5,134200,V2_MULTI,0.8431372549019608,0.8431372549019608,0.0,,,,0.0784313725490196
wisconsin,5,134200,FINAL_V3,0.8431372549019608,0.8431372549019608,0.0,0,0,1.0,0.09803921568627451
wisconsin,6,134300,SGC_V1,0.8431372549019608,0.8431372549019608,0.0,,,,0.0
wisconsin,6,134300,V2_MULTI,0.8431372549019608,0.8431372549019608,0.0,,,,0.0
wisconsin,6,134300,FINAL_V3,0.8431372549019608,0.8431372549019608,0.0,0,0,1.0,0.0
wisconsin,7,134400,SGC_V1,0.803921568627451,0.8235294117647058,0.019607843137254832,,,,0.0196078431372549
wisconsin,7,134400,V2_MULTI,0.803921568627451,0.8235294117647058,0.019607843137254832,,,,0.0196078431372549
wisconsin,7,134400,FINAL_V3,0.803921568627451,0.8235294117647058,0.019607843137254832,1,0,1.0,0.0196078431372549
wisconsin,8,134500,SGC_V1,0.8627450980392157,0.8431372549019608,-0.019607843137254943,,,,0.0196078431372549
wisconsin,8,134500,V2_MULTI,0.8627450980392157,0.8627450980392157,0.0,,,,0.0
wisconsin,8,134500,FINAL_V3,0.8627450980392157,0.8627450980392157,0.0,0,0,1.0,0.0
wisconsin,9,134600,SGC_V1,0.9215686274509803,0.9215686274509803,0.0,,,,0.0
wisconsin,9,134600,V2_MULTI,0.9215686274509803,0.9215686274509803,0.0,,,,0.0
wisconsin,9,134600,FINAL_V3,0.9215686274509803,0.9215686274509803,0.0,0,0,1.0,0.0
