method,dataset,noise_fraction,mean_delta_vs_mlp,std_delta_vs_mlp,n_splits
GRAPHSAGE,texas,0.0,0.018919,0.118871,10
SGC,texas,0.0,-0.237838,0.096863,10
APPNP,texas,0.1,-0.205405,0.088454,10
CLP,texas,0.1,-0.010811,0.071165,10
CORRECT_AND_SMOOTH,texas,0.1,-0.029730,0.106938,10
FINAL_V3,texas,0.1,0.002703,0.019942,10
GRAPHSAGE,texas,0.1,0.000000,0.126126,10
SGC,texas,0.1,-0.248649,0.074071,10
APPNP,texas,0.2,-0.189189,0.097030,10
CLP,texas,0.2,-0.032432,0.069550,10
CORRECT_AND_SMOOTH,texas,0.2,-0.021622,0.110190,10
FINAL_V3,texas,0.2,0.000000,0.012741,10
GRAPHSAGE,texas,0.2,-0.013514,0.097239,10
SGC,texas,0.2,-0.237838,0.122071,10
APPNP,texas,0.3,-0.178378,0.073411,10
CLP,texas,0.3,-0.016216,0.086599,10
CORRECT_AND_SMOOTH,texas,0.3,-0.018919,0.081630,10
FINAL_V3,texas,0.3,0.000000,0.018018,10
GRAPHSAGE,texas,0.3,-0.024324,0.110668,10
SGC,texas,0.3,-0.254054,0.099671,10
APPNP,wisconsin,0.0,-0.272549,0.049302,10
CLP,wisconsin,0.0,0.013725,0.034647,10
CORRECT_AND_SMOOTH,wisconsin,0.0,-0.027451,0.026469,10
FINAL_V3,wisconsin,0.0,0.001961,0.006201,10
GRAPHSAGE,wisconsin,0.0,-0.101961,0.090470,10
SGC,wisconsin,0.0,-0.307843,0.098279,10
APPNP,wisconsin,0.1,-0.266667,0.049948,10
CLP,wisconsin,0.1,0.009804,0.036096,10
CORRECT_AND_SMOOTH,wisconsin,0.1,-0.005882,0.027807,10
FINAL_V3,wisconsin,0.1,0.003922,0.008267,10
GRAPHSAGE,wisconsin,0.1,-0.058824,0.104575,10
SGC,wisconsin,0.1,-0.300000,0.091059,10
APPNP,wisconsin,0.2,-0.225490,0.072340,10
CLP,wisconsin,0.2,0.005882,0.032086,10
CORRECT_AND_SMOOTH,wisconsin,0.2,-0.017647,0.036332,10
FINAL_V3,wisconsin,0.2,0.000000,0.000000,10
GRAPHSAGE,wisconsin,0.2,-0.062745,0.092340,10
SGC,wisconsin,0.2,-0.290196,0.080474,10
APPNP,wisconsin,0.3,-0.207843,0.052451,10
CLP,wisconsin,0.3,0.005882,0.043404,10
CORRECT_AND_SMOOTH,wisconsin,0.3,-0.003922,0.035559,10
FINAL_V3,wisconsin,0.3,0.001961,0.014468,10
GRAPHSAGE,wisconsin,0.3,-0.082353,0.102011,10
SGC,wisconsin,0.3,-0.288235,0.060647,10
