method,dataset,noise_fraction,mean_test_acc,std_test_acc,n_splits
FINAL_V3,citeseer,0.1,0.700690,0.019338,10
GRAPHSAGE,citeseer,0.1,0.748970,0.021180,10
MLP_ONLY,citeseer,0.1,0.680529,0.019525,10
SGC,citeseer,0.1,0.749506,0.015301,10
APPNP,citeseer,0.2,0.733313,0.015916,10
CLP,citeseer,0.2,0.741764,0.018969,10
CORRECT_AND_SMOOTH,citeseer,0.2,0.750513,0.018871,10
FINAL_V3,citeseer,0.2,0.695220,0.023221,10
GRAPHSAGE,citeseer,0.2,0.721087,0.020054,10
MLP_ONLY,citeseer,0.2,0.680529,0.019525,10
SGC,citeseer,0.2,0.721280,0.014393,10
APPNP,citeseer,0.3,0.725353,0.031444,10
CLP,citeseer,0.3,0.741485,0.023661,10
CORRECT_AND_SMOOTH,citeseer,0.3,0.739639,0.024476,10
FINAL_V3,citeseer,0.3,0.693332,0.023101,10
GRAPHSAGE,citeseer,0.3,0.703970,0.019885,10
MLP_ONLY,citeseer,0.3,0.680529,0.019525,10
SGC,citeseer,0.3,0.707509,0.023834,10
APPNP,cora,0.0,0.880684,0.013747,10
CLP,cora,0.0,0.825352,0.015200,10
CORRECT_AND_SMOOTH,cora,0.0,0.878270,0.012448,10
FINAL_V3,cora,0.0,0.739839,0.027162,10
GRAPHSAGE,cora,0.0,0.869819,0.008162,10
MLP_ONLY,cora,0.0,0.705634,0.029343,10
SGC,cora,0.0,0.868008,0.008703,10
APPNP,cora,0.1,0.862978,0.016495,10
CLP,cora,0.1,0.800201,0.015354,10
CORRECT_AND_SMOOTH,cora,0.1,0.865795,0.010174,10
FINAL_V3,cora,0.1,0.733602,0.025753,10
GRAPHSAGE,cora,0.1,0.852314,0.015735,10
MLP_ONLY,cora,0.1,0.705634,0.029343,10
SGC,cora,0.1,0.844064,0.019697,10
APPNP,cora,0.2,0.847887,0.013218,10
CLP,cora,0.2,0.782093,0.023196,10
CORRECT_AND_SMOOTH,cora,0.2,0.848893,0.009554,10
FINAL_V3,cora,0.2,0.728571,0.026035,10
GRAPHSAGE,cora,0.2,0.830583,0.012894,10
MLP_ONLY,cora,0.2,0.705634,0.029343,10
SGC,cora,0.2,0.829376,0.015522,10
APPNP,cora,0.3,0.823139,0.016413,10
CLP,cora,0.3,0.766600,0.018803,10
CORRECT_AND_SMOOTH,cora,0.3,0.831791,0.011547,10
FINAL_V3,cora,0.3,0.721932,0.024327,10
GRAPHSAGE,cora,0.3,0.802414,0.015464,10
MLP_ONLY,cora,0.3,0.705634,0.029343,10
SGC,cora,0.3,0.790744,0.015557,10
APPNP,pubmed,0.0,0.881922,0.006747,10
CLP,pubmed,0.0,0.874214,0.003557,10
CORRECT_AND_SMOOTH,pubmed,0.0,0.882480,0.006018,10
FINAL_V3,pubmed,0.0,0.884483,0.004149,10
GRAPHSAGE,pubmed,0.0,0.887855,0.004855,10
MLP_ONLY,pubmed,0.0,0.873580,0.003934,10
SGC,pubmed,0.0,0.856288,0.007614,10
APPNP,pubmed,0.1,0.868027,0.005484,10
CLP,pubmed,0.1,0.872490,0.003799,10
CORRECT_AND_SMOOTH,pubmed,0.1,0.869523,0.005254,10
FINAL_V3,pubmed,0.1,0.882759,0.004313,10
GRAPHSAGE,pubmed,0.1,0.882099,0.006485,10
MLP_ONLY,pubmed,0.1,0.873580,0.003934,10
SGC,pubmed,0.1,0.833316,0.006195,10
APPNP,pubmed,0.2,0.853727,0.005996,10
CLP,pubmed,0.2,0.870639,0.003040,10
CORRECT_AND_SMOOTH,pubmed,0.2,0.852764,0.008122,10
FINAL_V3,pubmed,0.2,0.880781,0.003738,10
GRAPHSAGE,pubmed,0.2,0.877130,0.004398,10
MLP_ONLY,pubmed,0.2,0.873580,0.003934,10
SGC,pubmed,0.2,0.810167,0.006622,10
APPNP,pubmed,0.3,0.845690,0.006219,10
CLP,pubmed,0.3,0.868788,0.003510,10
CORRECT_AND_SMOOTH,pubmed,0.3,0.836055,0.008013,10
FINAL_V3,pubmed,0.3,0.877485,0.004967,10
GRAPHSAGE,pubmed,0.3,0.875558,0.004046,10
MLP_ONLY,pubmed,0.3,0.873580,0.003934,10
SGC,pubmed,0.3,0.784153,0.007350,10
APPNP,texas,0.0,0.589189,0.055242,10
CLP,texas,0.0,0.794595,0.052839,10
CORRECT_AND_SMOOTH,texas,0.0,0.789189,0.070708,10
FINAL_V3,texas,0.0,0.810811,0.079565,10
GRAPHSAGE,texas,0.0,0.824324,0.067718,10
MLP_ONLY,texas,0.0,0.805405,0.070708,10
SGC,texas,0.0,0.567568,0.064965,10
APPNP,texas,0.1,0.600000,0.043766,10
CLP,texas,0.1,0.794595,0.057262,10
CORRECT_AND_SMOOTH,texas,0.1,0.775676,0.083595,10
FINAL_V3,texas,0.1,0.808108,0.083010,10
GRAPHSAGE,texas,0.1,0.805405,0.089002,10
MLP_ONLY,texas,0.1,0.805405,0.070708,10
SGC,texas,0.1,0.556757,0.046289,10
APPNP,texas,0.2,0.616216,0.043766,10
CLP,texas,0.2,0.772973,0.066447,10
CORRECT_AND_SMOOTH,texas,0.2,0.783784,0.074290,10
FINAL_V3,texas,0.2,0.805405,0.072967,10
GRAPHSAGE,texas,0.2,0.791892,0.067477,10
MLP_ONLY,texas,0.2,0.805405,0.070708,10
SGC,texas,0.2,0.567568,0.075375,10
APPNP,texas,0.3,0.627027,0.055242,10
CLP,texas,0.3,0.789189,0.063448,10
CORRECT_AND_SMOOTH,texas,0.3,0.786486,0.044955,10
FINAL_V3,texas,0.3,0.805405,0.077289,10
GRAPHSAGE,texas,0.3,0.781081,0.064274,10
MLP_ONLY,texas,0.3,0.805405,0.070708,10
SGC,texas,0.3,0.551351,0.082765,10
APPNP,wisconsin,0.0,0.570588,0.028414,10
CLP,wisconsin,0.0,0.856863,0.043404,10
CORRECT_AND_SMOOTH,wisconsin,0.0,0.815686,0.051630,10
FINAL_V3,wisconsin,0.0,0.845098,0.042809,10
GRAPHSAGE,wisconsin,0.0,0.741176,0.067165,10
MLP_ONLY,wisconsin,0.0,0.843137,0.044329,10
SGC,wisconsin,0.0,0.535294,0.070425,10
APPNP,wisconsin,0.1,0.576471,0.029520,10
CLP,wisconsin,0.1,0.852941,0.043600,10
CORRECT_AND_SMOOTH,wisconsin,0.1,0.837255,0.039270,10
FINAL_V3,wisconsin,0.1,0.847059,0.045093,10
GRAPHSAGE,wisconsin,0.1,0.784314,0.076780,10
MLP_ONLY,wisconsin,0.1,0.843137,0.044329,10
SGC,wisconsin,0.1,0.543137,0.074550,10
APPNP,wisconsin,0.2,0.617647,0.041595,10
CLP,wisconsin,0.2,0.849020,0.044377,10
CORRECT_AND_SMOOTH,wisconsin,0.2,0.825490,0.044761,10
FINAL_V3,wisconsin,0.2,0.843137,0.044329,10
GRAPHSAGE,wisconsin,0.2,0.780392,0.070878,10
MLP_ONLY,wisconsin,0.2,0.843137,0.044329,10
SGC,wisconsin,0.2,0.552941,0.063905,10
APPNP,wisconsin,0.3,0.635294,0.038334,10
CLP,wisconsin,0.3,0.849020,0.049819,10
CORRECT_AND_SMOOTH,wisconsin,0.3,0.839216,0.036741,10
FINAL_V3,wisconsin,0.3,0.845098,0.049302,10
GRAPHSAGE,wisconsin,0.3,0.760784,0.079406,10
MLP_ONLY,wisconsin,0.3,0.843137,0.044329,10
SGC,wisconsin,0.3,0.554902,0.038167,10
