dataset,split,num_nodes,num_edges,num_classes,avg_degree,degree_std,degree_var,density,edge_homophily,regime_note,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_minus_mlp,final_v3_minus_gcn,final_v3_minus_appnp,low_confidence_bucket_gain_vs_mlp,changed_fraction,harmful_overwrite_count,harmful_overwrite_rate,correction_precision_changed,uncertainty_gated_coverage,reliability_gated_coverage
pubmed,7,19717,88648,3,8.992037328193945,,,,0.802,,0.8722109533468559,0.8838742393509128,0.868914783000946,0.8676470518112183,0.011663286004056861,0.01495945634996676,0.016227187539694543,,0.2421399594320487,31,0.28703703703703703,0.7129629629629629,,0.2421399594320487
pubmed,8,19717,88648,3,8.992037328193945,,,,0.802,,0.8727180527383367,0.8820993914807302,0.8643509149551392,0.8658722043037415,0.009381338742393552,0.017748476525591084,0.01622718717698879,,0.2355476673427992,34,0.3238095238095238,0.6761904761904762,,0.2355476673427992
pubmed,9,19717,88648,3,8.992037328193945,,,,0.802,,0.8732251521298174,0.8871703853955375,0.8742393255233765,0.8757606744766235,0.013945233265720058,0.012931059872161033,0.011409710918913962,,0.25050709939148075,34,0.2764227642276423,0.7235772357723578,,0.25050709939148075
texas,0,183,574,5,3.14,,,,0.087,heterophilic,0.7567567567567568,0.7567567567567568,,,0.0,,,,0.05405405405405406,0,0.0,0.0,0.05405405405405406,0.05405405405405406
texas,1,183,574,5,3.14,,,,0.087,heterophilic,0.9459459459459459,0.972972972972973,,,0.027027027027027084,,,,0.02702702702702703,0,0.0,1.0,0.027027027027026973,0.02702702702702703
texas,2,183,574,5,3.14,,,,0.087,heterophilic,0.8378378378378378,0.8378378378378378,,,0.0,,,,0.0,0,0.0,1.0,0.0,0.0
texas,3,183,574,5,3.14,,,,0.087,heterophilic,0.8108108108108109,0.8378378378378378,,,0.027027027027026973,,,,0.05405405405405406,0,0.0,1.0,0.05405405405405406,0.05405405405405406
texas,4,183,574,5,3.14,,,,0.087,heterophilic,0.7297297297297297,0.7297297297297297,,,0.0,,,,0.02702702702702703,0,0.0,0.0,0.05405405405405406,0.02702702702702703
texas,5,183,574,5,3.14,,,,0.087,heterophilic,0.7567567567567568,0.7297297297297297,,,-0.027027027027027084,,,,0.02702702702702703,1,1.0,0.0,,0.02702702702702703
texas,6,183,574,5,3.14,,,,0.087,heterophilic,0.8108108108108109,0.8108108108108109,,,0.0,,,,0.0,0,0.0,1.0,,0.0
texas,7,183,574,5,3.14,,,,0.087,heterophilic,0.7837837837837838,0.8108108108108109,,,0.027027027027027084,,,,0.02702702702702703,0,0.0,1.0,,0.02702702702702703
texas,8,183,574,5,3.14,,,,0.087,heterophilic,0.7297297297297297,0.7297297297297297,,,0.0,,,,0.0,0,0.0,1.0,,0.0
texas,9,183,574,5,3.14,,,,0.087,heterophilic,0.8918918918918919,0.8918918918918919,,,0.0,,,,0.0,0,0.0,1.0,,0.0
wisconsin,0,251,916,5,3.65,,,,0.192,heterophilic,0.803921568627451,0.803921568627451,0.529411792755127,0.529411792755127,0.0,0.27450977587232406,0.27450977587232406,,0.0,0,0.0,1.0,0.0,0.0
wisconsin,1,251,916,5,3.65,,,,0.192,heterophilic,0.7843137254901961,0.7843137254901961,0.5882353186607361,0.5882353186607361,0.0,0.19607840682945998,0.19607840682945998,,0.0196078431372549,0,0.0,1.0,0.019607843137254943,0.0196078431372549
wisconsin,2,251,916,5,3.65,,,,0.192,heterophilic,0.803921568627451,0.803921568627451,0.529411792755127,0.5882353186607361,0.0,0.27450977587232406,0.21568624996671493,,0.0,0,0.0,1.0,0.039215686274509776,0.0
wisconsin,3,251,916,5,3.65,,,,0.192,heterophilic,0.8823529411764706,0.8823529411764706,0.4313725531101227,0.4901960790157318,0.0,0.4509803880663479,0.39215686216073875,,0.0196078431372549,0,0.0,1.0,0.039215686274509776,0.0196078431372549
wisconsin,4,251,916,5,3.65,,,,0.192,heterophilic,0.8823529411764706,0.8823529411764706,0.47058823704719543,0.5882353186607361,0.0,0.4117647041292751,0.2941176225157345,,0.0196078431372549,0,0.0,0.0,0.019607843137254943,0.0196078431372549
wisconsin,5,251,916,5,3.65,,,,0.192,heterophilic,0.8431372549019608,0.8431372549019608,0.6470588445663452,0.5098039507865906,0.0,0.19607841033561557,0.3333333041153702,,0.09803921568627451,0,0.0,1.0,,0.09803921568627451
wisconsin,6,251,916,5,3.65,,,,0.192,heterophilic,0.8431372549019608,0.8431372549019608,0.5686274766921997,0.6274510025978088,0.0,0.2745097782097611,0.21568625230415195,,0.0,0,0.0,1.0,,0.0
wisconsin,7,251,916,5,3.65,,,,0.192,heterophilic,0.803921568627451,0.8235294117647058,0.6078431606292725,0.6274510025978088,0.019607843137254832,0.21568625113543338,0.196078409166897,,0.0196078431372549,0,0.0,1.0,,0.0196078431372549
wisconsin,8,251,916,5,3.65,,,,0.192,heterophilic,0.8627450980392157,0.8627450980392157,0.5490196347236633,0.5882353186607361,0.0,0.3137254633155524,0.27450977937847965,,0.0,0,0.0,1.0,,0.0
wisconsin,9,251,916,5,3.65,,,,0.192,heterophilic,0.9215686274509803,0.9215686274509803,0.47058823704719543,0.5686274766921997,0.0,0.4509803904037849,0.35294115075878063,,0.0,0,0.0,1.0,,0.0
